"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"284","L","Right","P22","V","E",-1.04333520542724,-1.31030790702391
"285","L","Right","P23","N","E",-0.369436947953633,-1.01293837604599
"286","L","Right","P23","V","E",-0.535919785568871,-1.0043056232512
"287","L","Right","P24","N","N",-0.474553407546477,-0.98287640841255
"288","L","Right","P24","V","N",-0.787374421714818,-1.08796690994435
"289","L","Right","P25","N","E",-0.587310146316179,-0.821189887350175
"290","L","Right","P25","V","E",-1.16790660259418,-0.957655237090017
"291","L","Right","P26","N","N",-0.708165936533273,-1.30071277945478
"292","L","Right","P26","V","N",-0.963863166957705,-1.50486336646265
"293","L","Right","P27","N","N",-0.349891578376834,-0.325196624174627
"294","L","Right","P27","V","N",-0.343085549695086,-0.272309097768295
"295","L","Right","P28","N","N",-0.287443520090788,-1.05900021975953
"296","L","Right","P28","V","N",-0.321756772313257,-1.11133986854753
"297","L","Right","P29","N","E",-0.487639704857298,-0.781800417943984
"298","L","Right","P29","V","E",-1.08751695032455,-1.06545997554291
"299","L","Right","P30","N","E",-0.846215496019509,-0.238530321124596
"300","L","Right","P30","V","E",-0.918245909301655,-0.160134367329626
"301","L","Right","P31","N","E",-0.534468688743413,-1.10627689567324
"302","L","Right","P31","V","E",-0.793345463736643,-1.26552318724143
"303","L","Right","P32","N","N",-0.124501314570542,-0.185086099684807
"304","L","Right","P32","V","N",-0.176652781955361,-0.147847298108277
"305","L","Right","P33","N","E",-0.190473861056919,0.23641270020275
"306","L","Right","P33","V","E",-0.197912973583909,0.268095093570634
